Product Name,Discounted Price,Original Price,Warranty,Stock Status,4k,UHD,Smart,LED,Ultra HD,Full HD,Android,OLED,QLED,HDR,PRO,Slim,Curved,8k,Theatre,Dynamic Range,Screen Size
Philips 32PHT4002/98 32-inch 4000 Series Slim LED TV,699,799,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,32
Toshiba 43-inch Smart LED TV,"1,399.00","1,645.00",2 Years,In stock,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,43
Sony 32-inch LED TV,989,"1,036.00",2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32
Sony 40-inch Full HD LED TV,"1,299.00","1,444.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,40
Toshiba 49-inch Full HD LED TV,"1,499.00","2,299.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,49
LG 50-inch UHD TV,"2,399.00","3,300.00",2 Years,In stock,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Sony 43-inch X70F 4K UHD HDR Smart TV,"1,599.00","2,199.00",2 Years,In stock,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,43
"Sony 40"" Full HD Internet TV","1,549.00","1,885.00",2 Years,In stock,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40
Toshiba 32-inch Pro Theatre LED TV,729,980,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,32
Toshiba 55-inch Pro Theatre Full HD LED TV,"2,399.00","2,669.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,55
Toshiba 55-inch UHD 4K with Android TV,"2,999.00","4,299.00",2 Years,In stock,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55
Sharp 60-inch 4K UHD Android TV,"3,399.00","4,699.00",2 Years,In stock,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60
Pensonic 24-inch LED TV,399,439,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24
Philips 50-inch 4K Ultra Slim Smart TV,"1,788.00","2,829.00",2 Years,In stock,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,50
Philips 32PHT4002/98 32-inch 4000 Series Slim LED TV,699,799,2 Years,In stock,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,32
Philips 43PFT4002S/98 Full HD Ultra Slim LED TV,"1,149.00","1,499.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,43
Philips 40-inch Full HD Ultra Slim LED TV,988,"1,099.00",2 Years,In stock,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,40
